country,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Austria,2020-07-08,estimate,1.08,1.08,0.05,1.08,1.1,1.06,1.12,1.0,1.16
Austria,2020-07-09,estimate,1.07,1.07,0.05,1.08,1.1,1.05,1.11,0.98,1.15
Austria,2020-07-10,estimate,1.07,1.06,0.05,1.08,1.1,1.04,1.11,0.97,1.13
Austria,2020-07-11,estimate,1.06,1.05,0.05,1.07,1.09,1.04,1.1,0.97,1.13
Austria,2020-07-12,estimate,1.05,1.05,0.05,1.06,1.08,1.03,1.1,0.96,1.12
Austria,2020-07-13,estimate,1.04,1.04,0.05,1.03,1.06,1.03,1.1,0.96,1.12
Austria,2020-07-14,estimate,1.04,1.03,0.05,1.03,1.06,1.0,1.08,0.95,1.12
Austria,2020-07-15,estimate,1.03,1.03,0.06,1.02,1.05,1.0,1.08,0.94,1.11
Austria,2020-07-16,estimate,1.03,1.02,0.06,1.02,1.05,0.99,1.07,0.94,1.11
Austria,2020-07-17,estimate,1.02,1.02,0.06,1.02,1.05,0.98,1.06,0.93,1.11
Austria,2020-07-18,estimate,1.02,1.02,0.06,1.01,1.04,0.98,1.06,0.93,1.11
Austria,2020-07-19,estimate,1.02,1.01,0.06,1.03,1.06,0.98,1.06,0.92,1.11
Austria,2020-07-20,estimate,1.02,1.01,0.06,1.01,1.04,0.98,1.06,0.92,1.11
Austria,2020-07-21,estimate,1.02,1.01,0.06,1.01,1.04,0.98,1.06,0.92,1.11
Austria,2020-07-22,estimate,1.02,1.01,0.06,1.01,1.04,0.99,1.07,0.93,1.12
Austria,2020-07-23,estimate,1.02,1.02,0.06,1.02,1.05,0.99,1.07,0.92,1.11
Austria,2020-07-24,estimate,1.03,1.02,0.06,1.02,1.05,0.99,1.07,0.93,1.12
Austria,2020-07-25,estimate,1.03,1.03,0.06,1.03,1.05,1.0,1.07,0.94,1.12
Austria,2020-07-26,estimate,1.04,1.03,0.06,1.03,1.06,1.02,1.08,0.94,1.12
Austria,2020-07-27,estimate,1.05,1.04,0.06,1.03,1.06,1.03,1.1,0.96,1.13
Austria,2020-07-28,estimate,1.06,1.05,0.05,1.06,1.08,1.04,1.1,0.96,1.13
Austria,2020-07-29,estimate,1.07,1.06,0.05,1.07,1.09,1.05,1.11,0.98,1.15
Austria,2020-07-30,estimate,1.08,1.08,0.05,1.08,1.1,1.06,1.11,0.99,1.16
Austria,2020-07-31,estimate,1.09,1.09,0.05,1.09,1.11,1.07,1.12,1.01,1.17
Austria,2020-08-01,estimate,1.1,1.1,0.05,1.09,1.11,1.08,1.13,1.02,1.19
Austria,2020-08-02,estimate,1.11,1.12,0.05,1.1,1.11,1.08,1.14,1.04,1.21
Austria,2020-08-03,estimate,1.12,1.13,0.06,1.09,1.11,1.09,1.15,1.05,1.22
Austria,2020-08-04,estimate,1.13,1.14,0.06,1.1,1.12,1.1,1.16,1.06,1.24
Austria,2020-08-05,estimate,1.14,1.15,0.06,1.1,1.12,1.09,1.17,1.06,1.25
Austria,2020-08-06,estimate,1.15,1.16,0.07,1.1,1.12,1.1,1.17,1.06,1.27
